브랜드,차종,연식,주행거리_만km,연료,사고이력,가격_만원
렉서스,대형,2008,32.7,디젤,무사고,560.0
기아,전기차 전용,2020,4.6,전기,단순수리,2210.0
벤츠,대형,2021,7.3,하이브리드,사고이력,3770.0
BMW,중형,2022,3.7,가솔린,무사고,3340.0
벤츠,SUV,2019,11.4,하이브리드,단순수리,2080.0
기아,대형,2013,27.6,가솔린,무사고,660.0
제네시스,중형,2023,4.1,가솔린,무사고,3380.0
벤츠,준중형,2024,2.0,디젤,무사고,3420.0
기아,SUV,2009,29.6,하이브리드,사고이력,250.0
BMW,준중형,2026,0.0,하이브리드,무사고,5060.0
르노코리아,SUV,2024,3.0,하이브리드,무사고,2710.0
테슬라,전기차 전용,2026,0.1,전기,단순수리,8020.0
BMW,중형,2019,4.8,디젤,무사고,2090.0
기아,대형,2023,6.5,LPG,사고이력,2330.0
현대,경차,2012,9.7,가솔린,사고이력,160.0
기아,대형,2026,0.0,하이브리드,사고이력,5080.0
렉서스,중형,2009,24.8,가솔린,무사고,380.0
기아,SUV,2009,20.6,디젤,단순수리,250.0
폭스바겐,중형,2010,16.6,하이브리드,사고이력,340.0
벤츠,준중형,2018,13.1,가솔린,사고이력,1010.0
기아,전기차 전용,2012,11.7,전기,무사고,750.0
현대,대형,2009,16.6,가솔린,무사고,450.0
아우디,중형,2013,22.7,디젤,무사고,700.0
포르쉐,SUV,2022,8.2,디젤,무사고,5330.0
KG모빌리티,SUV,2022,7.7,디젤,사고이력,1340.0
볼보,SUV,2012,20.7,LPG,무사고,530.0
기아,전기차 전용,2013,24.4,전기,무사고,720.0
제네시스,대형,2010,24.7,LPG,단순수리,640.0
기아,대형,2022,5.1,가솔린,무사고,2910.0
폭스바겐,SUV,2023,2.2,디젤,무사고,3000.0
렉서스,SUV,2020,10.6,디젤,무사고,2110.0
기아,중형,2023,6.2,디젤,무사고,1960.0
BMW,SUV,2009,12.8,가솔린,무사고,560.0
BMW,중형,2016,18.5,가솔린,무사고,1010.0
폭스바겐,SUV,2010,14.0,가솔린,무사고,460.0
테슬라,전기차 전용,2009,25.1,전기,무사고,660.0
볼보,중형,2022,8.8,가솔린,사고이력,1860.0
BMW,준중형,2022,8.1,가솔린,단순수리,1930.0
아우디,중형,2021,4.9,가솔린,무사고,2930.0
벤츠,대형,2019,4.2,가솔린,무사고,3890.0
KG모빌리티,SUV,2021,5.2,하이브리드,무사고,1770.0
현대,대형,2018,14.0,가솔린,단순수리,1270.0
벤츠,SUV,2019,5.2,가솔린,무사고,2830.0
르노코리아,중형,2022,3.4,디젤,단순수리,1450.0
벤츠,SUV,2017,9.6,디젤,무사고,1780.0
KG모빌리티,SUV,2025,2.2,가솔린,사고이력,2400.0
기아,경차,2013,14.7,하이브리드,단순수리,180.0
렉서스,대형,2008,22.2,가솔린,무사고,560.0
기아,전기차 전용,2023,2.2,전기,무사고,3650.0
기아,전기차 전용,2021,6.0,전기,단순수리,2310.0
아우디,중형,2012,29.0,디젤,단순수리,550.0
폭스바겐,중형,2010,20.0,하이브리드,무사고,420.0
아우디,준중형,2022,8.6,가솔린,단순수리,1860.0
현대,준중형,2023,5.3,디젤,무사고,1380.0
BMW,중형,2021,7.0,디젤,무사고,2730.0
기아,대형,2024,0.6,가솔린,단순수리,4420.0
KG모빌리티,중형,2014,6.6,가솔린,사고이력,470.0
아우디,SUV,2024,2.1,하이브리드,무사고,5180.0
렉서스,중형,2012,28.4,디젤,무사고,550.0
현대,중형,2009,20.3,디젤,무사고,240.0
기아,전기차 전용,2016,9.5,전기,무사고,1330.0
벤츠,SUV,2013,24.7,디젤,무사고,800.0
르노코리아,중형,2012,24.1,가솔린,무사고,310.0
쉐보레,중형,2008,25.6,디젤,사고이력,170.0
BMW,준중형,2015,18.6,가솔린,무사고,720.0
현대,준중형,2022,3.2,하이브리드,단순수리,1490.0
폭스바겐,중형,2024,3.7,가솔린,무사고,3350.0
쉐보레,준중형,2024,0.8,가솔린,단순수리,1750.0
제네시스,중형,2009,20.0,디젤,단순수리,320.0
쉐보레,SUV,2020,5.8,디젤,무사고,1300.0
기아,SUV,2022,3.4,가솔린,무사고,2330.0
제네시스,중형,2012,10.1,가솔린,단순수리,650.0
쉐보레,준중형,2013,11.7,가솔린,사고이력,250.0
KG모빌리티,SUV,2009,31.6,디젤,사고이력,200.0
현대,준중형,2023,3.7,가솔린,단순수리,1510.0
아우디,대형,2021,6.1,디젤,무사고,3830.0
기아,중형,2024,2.5,가솔린,무사고,2820.0
KG모빌리티,중형,2021,8.9,하이브리드,사고이력,1150.0
벤츠,대형,2016,18.7,디젤,무사고,1750.0
렉서스,대형,2019,3.5,하이브리드,단순수리,3560.0
폭스바겐,SUV,2024,1.4,하이브리드,사고이력,3100.0
기아,대형,2014,21.4,가솔린,단순수리,730.0
현대,경차,2013,25.4,가솔린,무사고,180.0
쉐보레,준중형,2016,8.0,하이브리드,단순수리,550.0
렉서스,SUV,2015,21.7,가솔린,단순수리,920.0
아우디,중형,2020,12.4,가솔린,무사고,1950.0
BMW,중형,2024,2.1,가솔린,단순수리,3930.0
볼보,SUV,2009,19.9,가솔린,단순수리,370.0
KG모빌리티,중형,2019,14.3,가솔린,단순수리,830.0
볼보,중형,2024,3.2,하이브리드,단순수리,3800.0
폭스바겐,SUV,2024,1.8,LPG,무사고,3210.0
르노코리아,준중형,2020,11.9,가솔린,무사고,700.0
렉서스,SUV,2011,24.1,디젤,무사고,560.0
BMW,대형,2009,19.9,가솔린,단순수리,670.0
폭스바겐,SUV,2010,28.9,가솔린,무사고,430.0
기아,대형,2023,5.7,디젤,단순수리,3150.0
기아,준중형,2020,6.0,가솔린,무사고,1080.0
쉐보레,SUV,2012,19.4,가솔린,무사고,420.0
테슬라,SUV,2008,25.2,전기,사고이력,350.0
쉐보레,준중형,2013,19.4,하이브리드,무사고,310.0
볼보,SUV,2011,12.7,하이브리드,무사고,690.0
르노코리아,중형,2018,11.3,가솔린,단순수리,760.0
BMW,대형,2025,0.9,가솔린,무사고,9070.0
포르쉐,스포츠카,2013,28.0,LPG,단순수리,2660.0
BMW,SUV,2023,3.8,디젤,무사고,3800.0
기아,경차,2022,4.6,가솔린,무사고,780.0
현대,준중형,2020,7.0,가솔린,단순수리,900.0
렉서스,SUV,2013,7.4,가솔린,무사고,1040.0
아우디,SUV,2019,15.8,가솔린,단순수리,1470.0
현대,준중형,2009,18.0,가솔린,무사고,200.0
테슬라,전기차 전용,2009,14.4,전기,무사고,680.0
BMW,대형,2022,3.3,디젤,단순수리,4720.0
아우디,중형,2022,4.8,디젤,무사고,2900.0
쉐보레,준중형,2022,2.1,가솔린,단순수리,1300.0
르노코리아,중형,2018,8.9,디젤,무사고,870.0
벤츠,대형,2024,1.9,가솔린,사고이력,6380.0
BMW,중형,2021,4.0,하이브리드,무사고,3440.0
렉서스,중형,2026,0.0,디젤,무사고,5260.0
현대,전기차 전용,2024,2.3,전기,무사고,4350.0
기아,준중형,2011,11.6,LPG,무사고,260.0
현대,중형,2008,21.2,가솔린,무사고,230.0
아우디,준중형,2009,28.9,하이브리드,무사고,350.0
볼보,대형,2026,0.5,LPG,단순수리,6440.0
현대,중형,2025,0.6,가솔린,단순수리,2750.0
벤츠,준중형,2017,19.0,가솔린,무사고,880.0
포르쉐,스포츠카,2010,13.5,가솔린,무사고,2590.0
제네시스,중형,2023,4.7,디젤,단순수리,2740.0
벤츠,중형,2015,15.9,가솔린,무사고,1050.0
BMW,중형,2014,8.1,가솔린,무사고,1060.0
BMW,SUV,2013,24.7,가솔린,무사고,800.0
현대,준중형,2019,6.0,디젤,무사고,940.0
KG모빌리티,SUV,2011,20.1,가솔린,무사고,320.0
기아,경차,2011,22.6,디젤,무사고,150.0
현대,대형,2013,21.2,하이브리드,무사고,790.0
렉서스,중형,2020,12.5,디젤,무사고,1630.0
렉서스,대형,2009,35.6,디젤,무사고,650.0
현대,준중형,2014,24.0,가솔린,사고이력,300.0
현대,SUV,2019,6.8,디젤,무사고,1320.0
기아,경차,2024,3.6,하이브리드,단순수리,970.0
포르쉐,SUV,2013,13.2,가솔린,단순수리,1540.0
렉서스,대형,2012,10.3,가솔린,사고이력,960.0
아우디,중형,2022,3.8,가솔린,단순수리,2900.0
현대,전기차 전용,2020,4.9,전기,무사고,2410.0
제네시스,중형,2024,3.6,하이브리드,단순수리,3820.0
테슬라,SUV,2023,2.7,전기,무사고,4270.0
테슬라,SUV,2019,7.9,전기,단순수리,2030.0
테슬라,SUV,2014,16.0,전기,사고이력,710.0
기아,대형,2020,11.7,가솔린,사고이력,1640.0
기아,대형,2014,15.5,디젤,단순수리,670.0
폭스바겐,준중형,2009,34.6,가솔린,무사고,230.0
제네시스,대형,2020,12.1,가솔린,무사고,2940.0
현대,대형,2013,8.5,디젤,무사고,830.0
폭스바겐,준중형,2010,25.4,하이브리드,단순수리,260.0
렉서스,SUV,2015,11.5,디젤,무사고,1030.0
현대,전기차 전용,2019,14.6,전기,사고이력,1180.0
아우디,중형,2025,2.2,가솔린,무사고,4890.0
포르쉐,SUV,2015,8.7,디젤,무사고,2220.0
아우디,대형,2009,26.5,가솔린,단순수리,660.0
쉐보레,경차,2023,4.3,LPG,사고이력,530.0
테슬라,SUV,2022,2.9,전기,무사고,3800.0
테슬라,SUV,2014,16.3,전기,무사고,950.0
기아,중형,2018,8.1,디젤,단순수리,930.0
BMW,SUV,2020,9.9,하이브리드,무사고,2490.0
포르쉐,SUV,2009,33.7,하이브리드,무사고,1020.0
벤츠,SUV,2017,10.2,가솔린,사고이력,1380.0
아우디,대형,2017,9.7,가솔린,무사고,2330.0
현대,준중형,2012,23.4,하이브리드,단순수리,270.0
기아,대형,2010,29.6,가솔린,무사고,490.0
BMW,SUV,2008,11.3,디젤,단순수리,460.0
기아,SUV,2020,3.0,가솔린,무사고,1780.0
기아,준중형,2018,6.0,가솔린,무사고,840.0
아우디,SUV,2026,0.6,가솔린,사고이력,4980.0
기아,대형,2022,2.8,가솔린,단순수리,3180.0
기아,대형,2020,8.5,하이브리드,단순수리,2330.0
벤츠,준중형,2012,17.4,가솔린,무사고,500.0
현대,중형,2024,1.5,하이브리드,단순수리,2600.0
BMW,준중형,2022,7.3,가솔린,단순수리,1980.0
아우디,SUV,2020,10.6,디젤,사고이력,1730.0
기아,중형,2023,4.5,가솔린,무사고,2310.0
현대,전기차 전용,2020,8.3,전기,무사고,2270.0
현대,중형,2022,6.9,가솔린,무사고,1900.0
현대,대형,2013,27.0,가솔린,사고이력,540.0
현대,SUV,2016,18.6,하이브리드,사고이력,570.0
BMW,준중형,2010,33.2,가솔린,단순수리,360.0
현대,중형,2019,14.6,가솔린,사고이력,770.0
쉐보레,중형,2021,7.3,가솔린,단순수리,1330.0
벤츠,준중형,2024,0.4,하이브리드,사고이력,3020.0
기아,대형,2020,13.8,가솔린,무사고,1740.0
벤츠,SUV,2023,6.4,LPG,무사고,3770.0
BMW,SUV,2018,15.0,가솔린,무사고,1610.0
벤츠,중형,2017,9.6,하이브리드,무사고,1780.0
쉐보레,SUV,2013,13.6,디젤,무사고,440.0
포르쉐,SUV,2015,15.3,가솔린,무사고,2030.0
르노코리아,준중형,2021,10.7,디젤,무사고,820.0
볼보,중형,2009,37.0,가솔린,무사고,380.0
르노코리아,중형,2012,19.0,LPG,무사고,300.0
아우디,준중형,2021,9.8,가솔린,무사고,1750.0
현대,경차,2021,2.9,디젤,무사고,660.0
포르쉐,SUV,2021,9.1,가솔린,무사고,4820.0
벤츠,준중형,2019,8.2,가솔린,단순수리,1470.0
쉐보레,중형,2008,31.4,가솔린,무사고,220.0
제네시스,대형,2019,8.7,디젤,무사고,2740.0
기아,SUV,2025,1.7,디젤,무사고,3350.0
테슬라,전기차 전용,2021,6.8,전기,무사고,3640.0
테슬라,전기차 전용,2014,12.8,전기,사고이력,1140.0
기아,전기차 전용,2012,26.2,전기,사고이력,520.0
아우디,준중형,2009,28.4,가솔린,사고이력,250.0
포르쉐,SUV,2020,5.1,가솔린,무사고,5320.0
기아,중형,2026,0.0,LPG,단순수리,3180.0
포르쉐,SUV,2020,11.2,가솔린,무사고,4340.0
벤츠,중형,2019,15.1,LPG,무사고,1510.0
BMW,SUV,2014,19.9,하이브리드,무사고,970.0
현대,준중형,2017,6.4,하이브리드,사고이력,660.0
현대,전기차 전용,2018,6.4,전기,무사고,1920.0
BMW,SUV,2013,21.1,가솔린,단순수리,740.0
현대,경차,2025,0.1,가솔린,단순수리,1170.0
볼보,중형,2023,5.0,가솔린,단순수리,2840.0
현대,전기차 전용,2026,0.0,전기,사고이력,4630.0
벤츠,중형,2010,19.4,가솔린,단순수리,490.0
기아,SUV,2008,17.2,하이브리드,무사고,270.0
BMW,대형,2012,17.3,디젤,단순수리,910.0
현대,경차,2022,5.1,LPG,무사고,700.0
BMW,SUV,2012,8.2,가솔린,단순수리,930.0
쉐보레,준중형,2018,11.9,하이브리드,무사고,710.0
현대,전기차 전용,2011,26.0,전기,무사고,520.0
벤츠,준중형,2018,5.6,가솔린,사고이력,1150.0
BMW,대형,2017,12.9,가솔린,단순수리,2050.0
벤츠,SUV,2014,10.8,LPG,단순수리,980.0
KG모빌리티,SUV,2021,5.9,디젤,무사고,1480.0
기아,SUV,2008,30.8,LPG,무사고,250.0
테슬라,전기차 전용,2020,12.2,전기,단순수리,2850.0
BMW,준중형,2017,18.3,가솔린,무사고,850.0
볼보,SUV,2012,14.4,가솔린,사고이력,520.0
기아,경차,2013,24.4,가솔린,무사고,180.0
아우디,중형,2021,6.7,디젤,무사고,2600.0
렉서스,대형,2022,7.6,가솔린,무사고,4380.0
제네시스,SUV,2014,25.7,하이브리드,무사고,810.0
현대,전기차 전용,2016,13.8,전기,단순수리,1020.0
현대,SUV,2014,8.9,가솔린,단순수리,690.0
볼보,중형,2022,5.5,가솔린,단순수리,2410.0
기아,전기차 전용,2026,0.3,전기,사고이력,4420.0
제네시스,대형,2009,21.0,디젤,무사고,580.0
제네시스,대형,2019,6.9,디젤,단순수리,2730.0
볼보,중형,2018,14.4,가솔린,무사고,1160.0
포르쉐,SUV,2025,1.9,LPG,무사고,8710.0
BMW,SUV,2023,5.8,가솔린,무사고,3760.0
볼보,SUV,2014,10.5,디젤,단순수리,800.0
현대,준중형,2025,1.9,가솔린,사고이력,1810.0
기아,전기차 전용,2009,15.1,전기,무사고,430.0
현대,전기차 전용,2015,15.1,전기,단순수리,830.0
렉서스,중형,2025,2.3,가솔린,단순수리,3980.0
현대,중형,2009,25.8,가솔린,사고이력,230.0
현대,대형,2015,7.5,디젤,단순수리,1100.0
기아,경차,2025,1.3,가솔린,무사고,1120.0
현대,대형,2019,12.6,가솔린,무사고,1580.0
포르쉐,스포츠카,2022,4.8,디젤,무사고,13100.0
기아,중형,2012,20.7,디젤,무사고,370.0
테슬라,전기차 전용,2014,19.1,전기,단순수리,1110.0
기아,중형,2008,31.1,디젤,무사고,230.0
BMW,SUV,2012,19.7,하이브리드,무사고,790.0
포르쉐,스포츠카,2024,2.1,가솔린,단순수리,17810.0
쉐보레,경차,2026,0.0,가솔린,무사고,1340.0
KG모빌리티,SUV,2024,3.9,가솔린,무사고,2420.0
현대,대형,2015,21.2,디젤,무사고,800.0
현대,대형,2010,24.3,하이브리드,단순수리,470.0
렉서스,SUV,2026,0.5,가솔린,단순수리,5260.0
폭스바겐,준중형,2023,7.9,가솔린,단순수리,1630.0
현대,준중형,2010,33.2,가솔린,사고이력,180.0
기아,SUV,2016,17.0,가솔린,무사고,660.0
르노코리아,중형,2014,12.1,디젤,무사고,460.0
현대,SUV,2026,0.0,가솔린,단순수리,3690.0
쉐보레,중형,2024,3.5,가솔린,사고이력,1970.0
벤츠,중형,2022,7.5,가솔린,사고이력,2660.0
BMW,준중형,2015,12.1,디젤,무사고,770.0
현대,경차,2017,13.5,가솔린,무사고,300.0
BMW,중형,2025,2.3,가솔린,무사고,5380.0
르노코리아,중형,2009,24.8,가솔린,무사고,230.0
현대,준중형,2016,18.6,가솔린,무사고,460.0
기아,경차,2024,3.6,하이브리드,무사고,1080.0
테슬라,SUV,2011,15.9,전기,무사고,620.0
현대,전기차 전용,2015,15.2,전기,무사고,910.0
BMW,SUV,2024,3.3,하이브리드,무사고,5130.0
현대,경차,2014,25.7,하이브리드,무사고,210.0
기아,경차,2011,17.1,가솔린,단순수리,150.0
르노코리아,SUV,2026,0.0,가솔린,무사고,3420.0
BMW,대형,2025,1.1,디젤,무사고,7750.0
기아,경차,2015,20.4,가솔린,단순수리,210.0
테슬라,전기차 전용,2018,12.3,전기,단순수리,2060.0
현대,중형,2026,0.8,가솔린,단순수리,3110.0
기아,중형,2010,11.6,하이브리드,무사고,410.0
테슬라,전기차 전용,2011,26.0,전기,사고이력,660.0
제네시스,SUV,2013,26.2,하이브리드,무사고,780.0
쉐보레,경차,2009,12.3,하이브리드,단순수리,150.0
르노코리아,SUV,2009,29.8,하이브리드,사고이력,220.0
기아,중형,2025,1.0,가솔린,단순수리,2970.0
포르쉐,SUV,2014,11.8,하이브리드,무사고,2240.0
KG모빌리티,SUV,2022,8.3,디젤,무사고,1620.0
폭스바겐,준중형,2018,6.9,LPG,단순수리,900.0
르노코리아,중형,2015,14.1,가솔린,단순수리,450.0
기아,준중형,2021,8.8,가솔린,단순수리,980.0
현대,준중형,2021,6.8,가솔린,무사고,1180.0
현대,전기차 전용,2013,10.2,전기,단순수리,770.0
BMW,대형,2019,8.8,디젤,단순수리,2720.0
폭스바겐,SUV,2009,22.6,가솔린,무사고,350.0
현대,SUV,2018,6.8,하이브리드,무사고,1290.0
제네시스,대형,2024,3.3,LPG,무사고,5320.0
렉서스,대형,2025,0.8,가솔린,무사고,7520.0
기아,준중형,2019,11.8,하이브리드,무사고,810.0
KG모빌리티,SUV,2012,7.6,가솔린,무사고,500.0
포르쉐,SUV,2020,4.8,하이브리드,무사고,5590.0
벤츠,대형,2021,4.1,가솔린,무사고,4790.0
쉐보레,준중형,2008,33.8,가솔린,단순수리,150.0
현대,준중형,2021,10.7,가솔린,사고이력,850.0
기아,전기차 전용,2012,18.3,전기,무사고,590.0
볼보,대형,2021,6.0,가솔린,무사고,3810.0
현대,준중형,2026,0.0,하이브리드,무사고,2750.0
현대,대형,2020,7.4,디젤,단순수리,2020.0
아우디,준중형,2021,6.2,디젤,무사고,1840.0
기아,SUV,2018,5.4,가솔린,무사고,1210.0
현대,SUV,2018,10.1,하이브리드,무사고,1200.0
쉐보레,SUV,2014,16.0,디젤,무사고,480.0
기아,SUV,2023,6.6,하이브리드,단순수리,2320.0
현대,SUV,2022,5.1,디젤,무사고,1900.0
포르쉐,스포츠카,2012,19.5,가솔린,단순수리,2780.0
르노코리아,SUV,2018,17.1,가솔린,무사고,770.0
테슬라,전기차 전용,2023,3.5,전기,무사고,5250.0
BMW,대형,2014,19.1,하이브리드,사고이력,1140.0
KG모빌리티,SUV,2021,4.3,디젤,무사고,1630.0
쉐보레,중형,2011,12.5,LPG,무사고,300.0
현대,전기차 전용,2020,6.7,전기,무사고,2280.0
BMW,대형,2018,5.9,가솔린,무사고,2990.0
현대,전기차 전용,2018,7.9,전기,무사고,1660.0
벤츠,SUV,2015,8.9,가솔린,사고이력,1120.0
렉서스,대형,2023,2.3,디젤,무사고,5260.0
테슬라,SUV,2021,10.1,전기,단순수리,2570.0
BMW,중형,2024,2.8,디젤,무사고,4450.0
BMW,중형,2018,6.7,가솔린,단순수리,1810.0
르노코리아,중형,2012,19.9,하이브리드,사고이력,300.0
기아,대형,2008,38.7,가솔린,단순수리,360.0
현대,SUV,2026,0.4,가솔린,무사고,4180.0
벤츠,SUV,2016,13.5,디젤,단순수리,1140.0
현대,대형,2017,12.4,가솔린,단순수리,1190.0
BMW,대형,2018,10.4,디젤,무사고,2600.0
쉐보레,경차,2016,13.1,가솔린,무사고,260.0
현대,전기차 전용,2025,1.9,전기,단순수리,4400.0
테슬라,전기차 전용,2025,2.3,전기,사고이력,5850.0
렉서스,대형,2011,30.6,가솔린,사고이력,690.0
테슬라,SUV,2008,26.3,전기,무사고,460.0
벤츠,중형,2013,21.9,하이브리드,단순수리,800.0
르노코리아,준중형,2015,12.7,가솔린,무사고,380.0
벤츠,SUV,2023,2.4,가솔린,무사고,4630.0
아우디,대형,2018,4.9,하이브리드,무사고,3190.0
아우디,대형,2008,33.9,하이브리드,무사고,630.0
렉서스,SUV,2017,10.1,가솔린,단순수리,1480.0
벤츠,준중형,2016,22.0,가솔린,단순수리,720.0
기아,경차,2019,6.6,디젤,무사고,470.0
기아,대형,2021,9.3,하이브리드,무사고,2550.0
기아,SUV,2011,9.8,하이브리드,사고이력,440.0
쉐보레,경차,2010,8.7,하이브리드,무사고,150.0
쉐보레,SUV,2024,1.9,가솔린,무사고,2660.0
아우디,SUV,2022,5.1,가솔린,무사고,3240.0
현대,대형,2021,10.1,디젤,사고이력,1880.0
기아,전기차 전용,2010,12.3,전기,무사고,550.0
KG모빌리티,중형,2019,10.6,디젤,단순수리,790.0
볼보,중형,2019,5.5,LPG,단순수리,1640.0
제네시스,중형,2012,12.5,하이브리드,사고이력,590.0
BMW,SUV,2010,13.7,하이브리드,무사고,720.0
벤츠,대형,2013,27.7,디젤,무사고,1190.0
현대,준중형,2018,14.3,하이브리드,무사고,720.0
현대,전기차 전용,2008,32.0,전기,사고이력,320.0
기아,준중형,2010,9.5,가솔린,무사고,280.0
BMW,중형,2021,5.6,디젤,단순수리,2420.0
현대,준중형,2025,1.2,디젤,무사고,1990.0
기아,경차,2026,0.0,하이브리드,무사고,1540.0
기아,준중형,2009,14.0,디젤,단순수리,170.0
아우디,SUV,2017,13.7,디젤,무사고,1230.0
아우디,대형,2010,8.9,가솔린,무사고,1070.0
벤츠,중형,2008,26.1,가솔린,단순수리,430.0
현대,SUV,2010,27.6,하이브리드,무사고,340.0
벤츠,중형,2026,0.0,가솔린,무사고,6490.0
기아,SUV,2021,4.2,가솔린,단순수리,1920.0
제네시스,SUV,2016,21.9,하이브리드,무사고,1170.0
기아,중형,2013,14.0,가솔린,사고이력,370.0
현대,중형,2013,15.9,가솔린,단순수리,430.0
기아,경차,2023,3.2,LPG,사고이력,630.0
르노코리아,준중형,2013,18.3,가솔린,사고이력,220.0
현대,경차,2024,4.3,가솔린,단순수리,970.0
기아,준중형,2020,13.0,가솔린,무사고,890.0
현대,전기차 전용,2016,14.9,전기,단순수리,920.0
아우디,SUV,2013,25.1,가솔린,사고이력,650.0
기아,대형,2013,18.9,가솔린,사고이력,560.0
벤츠,중형,2015,6.9,가솔린,사고이력,1060.0
기아,경차,2025,2.2,디젤,무사고,1160.0
현대,경차,2018,5.3,LPG,단순수리,380.0
기아,SUV,2010,32.7,디젤,무사고,340.0
르노코리아,준중형,2018,17.1,디젤,단순수리,440.0
쉐보레,경차,2009,29.8,가솔린,무사고,150.0
현대,대형,2021,9.0,가솔린,무사고,2390.0
BMW,중형,2022,8.1,디젤,무사고,2950.0
현대,대형,2018,12.1,LPG,무사고,1300.0
BMW,준중형,2017,9.6,가솔린,단순수리,1050.0
기아,전기차 전용,2015,22.5,전기,무사고,910.0
현대,준중형,2012,27.6,가솔린,단순수리,270.0
아우디,대형,2023,4.6,가솔린,무사고,5550.0
폭스바겐,SUV,2009,21.2,가솔린,무사고,360.0
벤츠,SUV,2013,16.0,LPG,단순수리,710.0
렉서스,중형,2024,3.5,가솔린,단순수리,3600.0
기아,경차,2008,15.2,가솔린,단순수리,150.0
기아,SUV,2009,13.1,하이브리드,단순수리,360.0
포르쉐,SUV,2011,25.0,가솔린,무사고,1130.0
벤츠,대형,2019,8.2,디젤,단순수리,3110.0
현대,준중형,2013,23.8,가솔린,무사고,330.0
현대,중형,2019,15.5,가솔린,무사고,880.0
테슬라,전기차 전용,2026,0.0,전기,무사고,8650.0
벤츠,준중형,2014,17.0,가솔린,사고이력,500.0
현대,준중형,2025,1.5,가솔린,무사고,2140.0
제네시스,중형,2017,11.7,하이브리드,무사고,1410.0
볼보,대형,2025,2.1,가솔린,사고이력,5450.0
렉서스,중형,2021,4.4,LPG,무사고,2420.0
포르쉐,SUV,2009,16.5,하이브리드,무사고,910.0
현대,준중형,2015,12.4,하이브리드,무사고,530.0
테슬라,전기차 전용,2019,10.9,전기,무사고,2610.0
기아,준중형,2019,3.6,디젤,무사고,900.0
현대,중형,2013,19.0,가솔린,단순수리,440.0
BMW,SUV,2018,12.6,LPG,무사고,1510.0
현대,대형,2022,2.6,가솔린,단순수리,3000.0
르노코리아,준중형,2016,18.4,가솔린,단순수리,390.0
아우디,대형,2021,7.0,가솔린,사고이력,3470.0
현대,경차,2008,32.2,디젤,사고이력,150.0
기아,대형,2018,4.1,하이브리드,무사고,2220.0
폭스바겐,중형,2010,31.1,가솔린,무사고,370.0
BMW,준중형,2012,14.3,디젤,단순수리,480.0
현대,대형,2012,23.1,가솔린,단순수리,550.0
KG모빌리티,중형,2018,13.3,가솔린,사고이력,650.0
르노코리아,준중형,2008,27.2,가솔린,무사고,150.0
기아,전기차 전용,2013,23.9,전기,무사고,670.0
렉서스,SUV,2009,16.4,디젤,단순수리,390.0
기아,중형,2013,19.8,가솔린,무사고,470.0
현대,대형,2013,27.9,디젤,단순수리,590.0
폭스바겐,중형,2012,29.4,디젤,무사고,440.0
제네시스,중형,2022,3.3,가솔린,단순수리,2780.0
르노코리아,SUV,2020,9.3,디젤,단순수리,1080.0
현대,SUV,2011,22.6,가솔린,무사고,370.0
BMW,대형,2022,7.5,하이브리드,무사고,5310.0
기아,준중형,2025,2.8,가솔린,무사고,2280.0
현대,전기차 전용,2018,8.8,전기,단순수리,1500.0
아우디,대형,2009,32.0,디젤,무사고,670.0
기아,대형,2018,4.1,가솔린,단순수리,1800.0
볼보,SUV,2015,23.2,가솔린,무사고,900.0
아우디,준중형,2011,14.0,하이브리드,단순수리,420.0
KG모빌리티,중형,2022,8.6,가솔린,무사고,1500.0
현대,대형,2011,27.2,가솔린,무사고,530.0
제네시스,SUV,2015,8.2,하이브리드,사고이력,970.0
BMW,대형,2009,32.1,디젤,단순수리,640.0
기아,경차,2017,7.0,가솔린,무사고,390.0
아우디,SUV,2019,10.4,가솔린,단순수리,1850.0
기아,경차,2026,0.1,가솔린,사고이력,1170.0
현대,대형,2018,6.8,가솔린,무사고,1830.0
테슬라,전기차 전용,2014,7.6,전기,무사고,1600.0
KG모빌리티,SUV,2012,10.7,가솔린,무사고,470.0
현대,경차,2021,5.9,가솔린,무사고,660.0
기아,준중형,2020,12.9,LPG,무사고,720.0
기아,중형,2023,5.9,디젤,무사고,2110.0
테슬라,전기차 전용,2023,4.1,전기,무사고,5640.0
포르쉐,스포츠카,2020,4.9,LPG,단순수리,9860.0
테슬라,전기차 전용,2017,18.1,전기,무사고,1720.0
기아,경차,2016,18.9,디젤,무사고,240.0
기아,중형,2021,7.5,가솔린,무사고,1560.0
기아,대형,2010,27.3,가솔린,무사고,490.0
KG모빌리티,중형,2020,9.6,가솔린,무사고,1150.0
기아,중형,2024,2.9,가솔린,사고이력,2070.0
쉐보레,경차,2024,3.4,가솔린,무사고,940.0
기아,준중형,2008,10.5,디젤,무사고,210.0
기아,경차,2023,5.0,하이브리드,사고이력,700.0
현대,경차,2023,3.3,가솔린,단순수리,850.0
테슬라,SUV,2017,19.5,전기,단순수리,1260.0
르노코리아,준중형,2018,8.0,디젤,무사고,640.0
기아,경차,2013,20.8,LPG,사고이력,150.0
제네시스,대형,2009,31.4,LPG,사고이력,430.0
벤츠,SUV,2016,14.0,디젤,무사고,1370.0
쉐보레,경차,2020,12.8,가솔린,무사고,410.0
기아,중형,2025,0.6,하이브리드,무사고,3570.0
기아,경차,2008,28.5,LPG,무사고,150.0
기아,준중형,2015,16.4,디젤,사고이력,300.0
